IRIS;GRD_QUART
10010000;100100
10020000;100200
10040101;100401
10040102;100401
10040201;100402
10040202;100402
10050000;100500
10060000;100600
10070000;100700
10080000;100800
10090000;100900
10100000;101000
10110000;101100
10120000;101200
10130000;101300
10140000;101400
10150000;101500
10160000;101600
10170000;101700
10190000;101900
10210000;102100
10220000;102200
10230000;102300
10240000;102400
10250000;102500
10260000;102600
10270000;102700
10280000;102800
10290000;102900
10300000;103000
10310000;103100
10320000;103200
10330102;103301
10330103;103301
10330201;103302
10330202;103302
10330301;103303
10330401;103304
10340101;103401
10340102;103401
10340103;103401
10350000;103500
10360000;103600
10370000;103700
10380000;103800
10400000;104000
10410000;104100
10420000;104200
10430000;104300
10440000;104400
10450000;104500
10460000;104600
10470000;104700
10490000;104900
10500000;105000
10510000;105100
10520000;105200
10530101;105301
10530102;105301
10530103;105301
10530201;105302
10530202;105302
10530203;105302
10530301;105303
10530302;105303
10530401;105304
10530402;105304
10530501;105305
10530502;105305
10530503;105305
10530601;105306
10530602;105306
10530603;105306
10530604;105306
10530701;105307
10540000;105400
10560000;105600
10570000;105700
10580000;105800
10600000;106000
10610000;106100
10620000;106200
10630000;106300
10640000;106400
10650000;106500
10660000;106600
10670000;106700
10680000;106800
10690000;106900
10710000;107100
10720000;107200
10730000;107300
10740000;107400
10750000;107500
10760000;107600
10770000;107700
10780000;107800
10790000;107900
10800000;108000
10810000;108100
10820000;108200
10830000;108300
10840000;108400
10850000;108500
10870000;108700
10880000;108800
10890000;108900
10900000;109000
10920000;109200
10930000;109300
10940000;109400
10950000;109500
10960000;109600
10980000;109800
10990000;109900
11000000;110000
11010000;110100
11020000;110200
11030000;110300
11040000;110400
11050000;110500
11060000;110600
11070000;110700
11080000;110800
11090000;110900
11100000;111000
11110000;111100
11120000;111200
11130000;111300
11140000;111400
11150000;111500
11160000;111600
11170000;111700
11180000;111800
11210000;112100
11230000;112300
11240000;112400
11250000;112500
11270000;112700
11280000;112800
11290000;112900
11300000;113000
11330000;113300
11340000;113400
11350000;113500
11360000;113600
11380000;113800
11390000;113900
11400000;114000
11410000;114100
11420000;114200
11430101;114301
11430102;114301
11430103;114301
11450000;114500
11460000;114600
11470000;114700
11480000;114800
11490000;114900
11500000;115000
11510000;115100
11520000;115200
11530000;115300
11550000;115500
11560000;115600
11570000;115700
11580000;115800
11590000;115900
11600101;116001
11600102;116001
11600103;116001
11620000;116200
11630000;116300
11650000;116500
11660000;116600
11670000;116700
11690000;116900
11700000;117000
11710000;117100
11730101;117301
11730102;117301
11730103;117301
11740000;117400
11750000;117500
11770000;117700
11790000;117900
11800000;118000
11810000;118100
11830000;118300
11840000;118400
11850000;118500
11870000;118700
11880000;118800
11890000;118900
11900000;119000
11910000;119100
11920000;119200
11930000;119300
11940101;119401
11940102;119401
11950000;119500
11960000;119600
11970000;119700
11980000;119800
11990000;119900
12000000;120000
12020101;120201
12020102;120201
12030000;120300
12040000;120400
12060000;120600
12070000;120700
12080000;120800
12090000;120900
12100000;121000
12110000;121100
12120000;121200
12130000;121300
12140000;121400
12150000;121500
12160000;121600
12190000;121900
12240000;122400
12250000;122500
12270000;122700
12280000;122800
12290000;122900
12300000;123000
12310000;123100
12320000;123200
12330000;123300
12340000;123400
12350000;123500
12360000;123600
12370000;123700
12380000;123800
12390000;123900
12400000;124000
12410000;124100
12420000;124200
12430000;124300
12440101;124401
12440102;124401
12440103;124401
12450000;124500
12460000;124600
12470000;124700
12480000;124800
12490101;124901
12490102;124901
12490103;124901
12500000;125000
12520000;125200
12540000;125400
12550000;125500
12570000;125700
12580000;125800
12590000;125900
12600000;126000
12610000;126100
12620101;126201
12620102;126201
12630000;126300
12640000;126400
12650000;126500
12660000;126600
12670000;126700
12680000;126800
12690000;126900
12720000;127200
12730000;127300
12740000;127400
12750000;127500
12760000;127600
12770000;127700
12790000;127900
12800000;128000
12810000;128100
12820000;128200
12830102;128301
12830103;128301
12830104;128301
12830201;128302
12830202;128302
12830203;128302
12830301;128303
12830302;128303
12830303;128303
12830304;128303
12830305;128303
12830306;128303
12840000;128400
12850000;128500
12860000;128600
12880000;128800
12890101;128901
12890102;128901
12900000;129000
12910000;129100
12930000;129300
12940000;129400
12950000;129500
12960000;129600
12970000;129700
12980000;129800
12990000;129900
13010000;130100
13020000;130200
13030000;130300
13040000;130400
13050000;130500
13060000;130600
13070000;130700
13080000;130800
13090000;130900
13100000;131000
13110000;131100
13130000;131300
13140000;131400
13170000;131700
13180000;131800
13190000;131900
13200000;132000
13210000;132100
13220000;132200
13230000;132300
13250000;132500
13280000;132800
13290000;132900
13300000;133000
13310000;133100
13320000;133200
13330000;133300
13340000;133400
13350000;133500
13360000;133600
